fecha;tipo;numero;;
16/08/2025;FACTURA POS EL HUECO;1943;;
06/10/2025;FACTURA POS EL HUECO;2473;;
13/11/2025;FACTURA POS EL HUECO;3086;;
16/08/2025;FACTURA POS EL HUECO;1933;;
20/12/2025;FACTURA POS EL HUECO;4186;;
15/10/2025;FACTURA POS EL HUECO;2550;;
22/12/2025;FACTURA POS EL HUECO;4350;;
12/10/2025;FACTURA POS SEDE ITAGUI;2141;;
22/12/2025;FACTURA POS SEDE ITAGUI;4070;;
08/11/2025;FACTURA POS SEDE ITAGUI;2468;;
24/12/2025;FACTURA POS SEDE ITAGUI;4567;;
13/12/2025;FACTURA POS SEDE ITAGUI;3346;;
27/09/2025;FACTURA POS SEDE ITAGUI;1981;;
31/10/2025;FACTURA POS SEDE ITAGUI;2371;;
02/12/2025;FACTURA POS SEDE ITAGUI;2898;;
15/12/2025;FACTURA POS SEDE ITAGUI;3453;;
22/12/2025;FACTURA POS SEDE ITAGUI;4105;;
20/12/2025;FACTURA POS SEDE ITAGUI;3721;;
19/12/2025;FACTURA POS SEDE ITAGUI;3615;;
04/10/2025;FACTURA POS SEDE ITAGUI;2036;;
