fecha,numero,tipo
16/08/2025,1943,FACTURA POS EL HUECO
06/10/2025,2473,FACTURA POS EL HUECO
13/11/2025,3086,FACTURA POS EL HUECO
16/08/2025,1933,FACTURA POS EL HUECO
20/12/2025,4186,FACTURA POS EL HUECO
15/10/2025,2550,FACTURA POS EL HUECO
22/12/2025,4350,FACTURA POS EL HUECO
12/10/2025,2141,FACTURA POS SEDE ITAGUI
22/12/2025,4070,FACTURA POS SEDE ITAGUI
08/11/2025,2468,FACTURA POS SEDE ITAGUI
24/12/2025,4567,FACTURA POS SEDE ITAGUI
13/12/2025,3346,FACTURA POS SEDE ITAGUI
27/09/2025,1981,FACTURA POS SEDE ITAGUI
31/10/2025,2371,FACTURA POS SEDE ITAGUI
02/12/2025,2898,FACTURA POS SEDE ITAGUI
15/12/2025,3453,FACTURA POS SEDE ITAGUI
22/12/2025,4105,FACTURA POS SEDE ITAGUI
20/12/2025,3721,FACTURA POS SEDE ITAGUI
19/12/2025,3615,FACTURA POS SEDE ITAGUI
04/10/2025,2036,FACTURA POS SEDE ITAGUI
